City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
495,Tecoanapa,MX,82.33,scattered clouds,16.5167,-98.75,Meson Casa de Piedra
498,Raton,US,83.01,clear sky,36.9034,-104.4391,"Holiday Inn Express & Suites Raton, an IHG Hotel"
505,Sterling,US,84.11,clear sky,39.0062,-77.4286,Hampton Inn & Suites Washington-Dulles International Airport
506,Shimoda,JP,84.29,broken clouds,34.6667,138.95,Shimoda Tokyu Hotel
507,Ocos,GT,81.5,overcast clouds,14.5094,-92.1933,Hotel Villazul
508,Hun,LY,75.07,clear sky,29.1268,15.9477,Alrwasi Hotel
510,Kudahuvadhoo,MV,79.47,overcast clouds,2.6708,72.8944,Hulhudheli Inn
515,Rafraf,TN,78.75,clear sky,37.1904,10.1837,Les Jardins de la Mer Ghar el Melh
517,Alim,PH,83.61,broken clouds,9.5649,122.4876,Punta Bulata Resort & Spa
520,Mokhsogollokh,RU,77.27,overcast clouds,61.4681,128.9203,Sterkh
523,Cockburn Town,TC,82.13,clear sky,21.4612,-71.1419,Osprey Beach Hotel
528,Cukai,MY,78.75,light rain,4.25,103.4167,Resorts World Kijal
534,Wilmington,US,82.9,broken clouds,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
542,Akyab,MM,83.16,overcast clouds,20.15,92.9,Hotel Memory
552,Suicheng,CN,76.1,moderate rain,33.8963,117.9331,Junyue Hotel
559,Karratha,AU,75.15,clear sky,-20.7377,116.8463,ibis Styles Karratha
560,Porbandar,IN,81.21,overcast clouds,21.6422,69.6093,Lords Inn Porbandar
561,Biak,ID,81.09,overcast clouds,-0.9131,122.8766,Hotel Santika Luwuk
562,Lillooet,CA,84.4,clear sky,50.6856,-121.942,Hotel Victoria
566,Keighley,GB,76.32,broken clouds,53.8679,-1.9066,Premier Inn Bradford North (Bingley) hotel
567,Rosetta,EG,78.55,clear sky,31.4044,30.4164,Green Valley
568,Lucea,JM,84.06,few clouds,18.451,-78.1736,Sunscape Splash Montego Bay
572,Jizan,SA,83.34,overcast clouds,17.3333,42.6667,Royal Al Salam Hotel
588,Lhokseumawe,ID,82.2,scattered clouds,5.1801,97.1507,OYO 3278 Penginapan Alfajri
589,Labuhan,ID,82.45,scattered clouds,-6.8844,112.2051,Hotel Mustika
592,Marathon,US,81.93,overcast clouds,44.9,-89.7668,Courtyard by Marriott Wausau
593,Siparia,TT,78.78,scattered clouds,10.1333,-61.5,Vs Plaza Hotel
594,Samarai,PG,82.22,scattered clouds,-10.6167,150.6667,Tawali Resort
597,Marang,MY,82.31,overcast clouds,5.2056,103.2059,Hotel Grand Continental Kuala Terengganu (4 Star)
600,Marsh Harbour,BS,81.77,clear sky,26.5412,-77.0636,Bahama Beach Club Resort
605,Vitim,RU,76.87,clear sky,59.4511,112.5578,Gostinitsa V Apteke
606,Khed Brahma,IN,79.36,overcast clouds,24.0333,73.05,Vireshwar Farm House
607,Virginia Beach,US,83.01,broken clouds,36.8529,-75.978,Hilton Virginia Beach Oceanfront
609,Puri,IN,79.32,heavy intensity rain,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
615,Manzhouli,CN,79.83,clear sky,49.6,117.4333,Angala International Youth Hostel
619,Sanary-Sur-Mer,FR,79.88,clear sky,43.1178,5.8001,Résidence Pierre et Vacances Les Rivages de Coudoulière
620,San Pablo,PH,83.89,overcast clouds,14.0669,121.3258,Hidden Valley Springs
622,Tartus,SY,78.6,clear sky,34.889,35.8866,Al Khair Resort
623,Tezu,IN,77.45,overcast clouds,27.9167,96.1667,Circuit House
627,Coahuayana,MX,80.28,broken clouds,18.7333,-103.6833,Pacos Hotel
629,Kattivakkam,IN,82.49,moderate rain,13.2167,80.3167,Euronova Freezer
637,Loreto,MX,75.07,scattered clouds,22.2667,-101.9667,Gavis
639,Araceli,PH,82.6,few clouds,10.5529,119.9913,JBryan Traveler's Inn
640,Mataram,ID,79.61,clear sky,-8.5833,116.1167,Hotel Santika Mataram
643,Catuday,PH,84.4,moderate rain,16.2923,119.8062,Olana Bed & Breakfast
648,Villa Rica,US,76.23,clear sky,33.7321,-84.9191,Days Inn by Wyndham Villa Rica
649,Narasannapeta,IN,83.68,overcast clouds,18.4167,84.05,Alikam Meeseva
