City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
158,Norman Wells,CA,65.282,-126.8329,75.24,31,40,13.8,scattered clouds
159,Nuevo Progreso,MX,23.1667,-97.95,85.53,62,0,1.99,clear sky
160,Kolobovo,RU,56.702,41.3417,53.28,86,99,7.72,overcast clouds
161,Novikovo,RU,51.1537,37.8879,53.49,94,8,5.84,clear sky
162,Lazaro Cardenas,MX,17.9583,-102.2,82.56,82,58,8.5,broken clouds
163,Avera,US,33.194,-82.5271,78.31,91,96,8.25,overcast clouds
164,Prince Albert,CA,53.2001,-105.7677,78.75,41,20,14.97,few clouds
165,Sangar,RU,63.9242,127.4739,74.66,60,100,7.34,overcast clouds
166,Belmonte,BR,-15.8631,-38.8828,71.22,90,55,6.4,broken clouds
167,Vao,NC,-22.6667,167.4833,74.07,89,99,14.18,overcast clouds
168,Jumla,NP,29.2747,82.1838,64.44,96,100,2.24,overcast clouds
169,Batagay-Alyta,RU,67.8006,130.4114,36.61,94,100,5.59,overcast clouds
170,Port-Gentil,GA,-0.7193,8.7815,74.59,82,97,10.25,overcast clouds
171,Palu,ID,-0.8917,119.8707,87.87,59,76,1.25,broken clouds
172,Akcakoca,TR,41.0866,31.1162,64.8,83,1,5.7,clear sky
173,Lienz,AT,46.8289,12.769,67.19,97,10,2.48,clear sky
174,Fereydun Kenar,IR,36.6864,52.5225,77.22,88,20,0.0,few clouds
175,Monrovia,LR,6.3005,-10.7969,75.83,79,100,9.4,light rain
176,Lichinga,MZ,-13.3128,35.2406,53.69,87,0,11.5,clear sky
177,Pangkalanbuun,ID,-2.6833,111.6167,83.55,73,37,4.34,scattered clouds
178,Chicama,PE,-7.8447,-79.1469,59.54,83,62,6.46,broken clouds
179,Am Timan,TD,11.0297,20.2827,72.88,91,100,6.46,overcast clouds
180,Dikson,RU,73.5069,80.5464,47.16,71,100,12.15,overcast clouds
181,Nenjiang,CN,49.1833,125.2167,78.76,66,16,3.11,few clouds
182,Katsuura,JP,35.1333,140.3,82.26,81,99,6.17,light rain
183,Rio Gallegos,AR,-51.6226,-69.2181,35.65,64,0,27.63,clear sky
184,Clyde River,CA,70.4692,-68.5914,34.03,100,100,6.91,overcast clouds
185,Rotava,CZ,50.2963,12.5734,66.15,65,67,3.83,broken clouds
186,Mogadishu,SO,2.0371,45.3438,75.27,77,100,17.58,overcast clouds
187,Lubbock,US,33.6001,-101.8338,100.65,17,20,14.97,few clouds
188,Ribeira Grande,PT,38.5167,-28.7,71.89,89,0,5.28,clear sky
189,Jaciara,BR,-15.9653,-54.9683,70.29,33,57,2.93,broken clouds
190,Klaksvik,FO,62.2266,-6.589,50.92,98,94,8.43,overcast clouds
191,Aden,YE,12.7794,45.0367,81.95,79,100,12.01,overcast clouds
192,Olenegorsk,RU,68.15,33.3,54.43,87,100,7.7,overcast clouds
193,Houma,US,29.5958,-90.7195,87.01,82,59,7.09,broken clouds
194,Georgiyevka,KZ,43.0369,74.7114,73.44,38,0,13.42,clear sky
195,Sulangan,PH,11.1373,123.7228,83.71,74,6,3.76,clear sky
196,Sorong,ID,-0.8833,131.25,82.31,74,99,10.85,overcast clouds
197,Forssa,FI,60.8146,23.6215,52.41,89,19,5.93,few clouds
198,Quatre Cocos,MU,-20.2078,57.7625,69.91,70,100,22.91,light rain
199,Sumbawanga,TZ,-7.9667,31.6167,54.9,77,68,3.18,broken clouds
200,Carnarvon,AU,-24.8667,113.6333,70.56,42,85,12.41,overcast clouds
201,Castro,BR,-24.7911,-50.0119,58.14,94,0,3.44,clear sky
202,Zhangjiakou,CN,40.81,114.8794,79.72,38,100,3.4,overcast clouds
203,Nemuro,JP,43.3236,145.575,59.0,93,100,9.01,light rain
204,Neiafu,TO,-18.65,-173.9833,81.28,69,40,12.66,scattered clouds
205,Shitkino,RU,56.3703,98.3543,62.33,74,100,9.13,overcast clouds
206,Burnie,AU,-41.0667,145.9167,48.94,57,0,1.57,clear sky
207,Vila Do Maio,CV,15.1333,-23.2167,76.96,91,92,12.03,overcast clouds
208,Dukat,RU,62.55,155.55,52.41,83,100,6.91,overcast clouds
209,Maniitsoq,GL,65.4167,-52.9,47.66,76,79,10.07,broken clouds
210,Mamallapuram,IN,12.6264,80.1722,82.45,72,70,12.68,broken clouds
